Northside
Cape View
Commodore Park
Sewells Point
Glenwood Park
Wards Corner
Larrymore
East Norview
Norvella
North Colley
Colonial Place
Lamberts Point Industrial
Foxhall
North Ghent
Lake Terrace
Chesterfield
Berkley
Willoughby
West Ocean View
North Camellia
Pamlico
Pinewell
Azalea
Oceanview
Roland Park
Oceanair
Willow Terrace
Merrimac Park
Snug Harbor
Pretty Lake
Shore Drive
Roosevelt Gardens
Oakdale Farms
Bel-Aire
Huntersville
North Chesapeake Blvd.
Sussex
Maple Hall - Hollywood
Titustown
Ghent
South Camellia
Janaf - Military Center
North Shore
Southern Shopping Center
Poplar Halls
Denby Park
Naval Base Road
Rosemont
Suburban
Chesapeake Manor
Norfolk International Airport
Talbot Park
Coronado
Edgewater - Larchmont
Sewells Gardens
Lakewood
Norview
Layfayette
Cromwell Road Industrial
Lake Taylor
Estabrook
Park Place
River Oaks
West 21st Street
Ballentine Park
West Ghent
Coleman Place
East 21st Street / Monticello
Crown Point
Lindenwood
Industrial Park
East Ghent
Medical Center
Tidewater Drive Industrial
Liberty - Roberts Park
Brambleton
Kempsville
Downtown
Tidewater - Young Park
Ingleside
Glenrock
Easton
River Forrest
Campostella Heights
Campostella
Naval Base
Lamberts Point / ODU
